param,mean,sd,ll,ul
alpha_ucs_neg,-1.2829374552875,0.07626664732085249,-1.407039365,-1.1583171400000003
alpha_cs_pos,1.860130776525,0.06727345355058946,1.74999961,1.9692008
lambda_ucs_neg,1,0,1,1
lambda_cs_pos,0.004574916716498588,0.004515245780964889,2.5088513299999996e-4,0.013925270549999987
sigma_ucs_neg,5.5803690456,0.051056577324547436,5.4978592950000005,5.664650205
sigma_cs_pos,5.33137686525,0.04733907208153103,5.25437552,5.410932245
