Domain,Between Main,Within Main,Between × Stress,Within × Stress
Negative Affectivity,"0.24 [-2.22, 2.74]","0.45 [-0.66, 1.61]","NA [NA, NA]NA","NA [NA, NA]NA"
Detachment,"0.98 [-1.65, 3.59]","-0.16 [-1.44, 1.12]","NA [NA, NA]NA","NA [NA, NA]NA"
Antagonism,"0.05 [-3.56, 3.73]","-0.45 [-2.11, 1.19]","NA [NA, NA]NA","NA [NA, NA]NA"
Disinhibition,"-2.68 [-6.26, 0.95]","-0.42 [-1.73, 0.90]","NA [NA, NA]NA","NA [NA, NA]NA"
Psychoticism,"3.89 [1.07, 6.72]*","0.27 [-1.33, 1.85]","NA [NA, NA]NA","NA [NA, NA]NA"
