Outcome,Domain,SD × Stress,SD × Recovery
F2 SD /a/,Negative Affectivity,"-0.24 [-0.45, -0.03]*","-0.18 [-0.44, 0.06]"
F2 SD /a/,Detachment,"-0.19 [-0.37, -0.00]*","-0.05 [-0.26, 0.15]"
F2 SD /a/,Antagonism,"-0.26 [-0.48, -0.04]*","-0.15 [-0.40, 0.09]"
NNE /a/,Antagonism,"0.99 [-0.96, 2.96]","2.41 [0.50, 4.27]*"
