outcome,domain,mean_main_est,mean_main_ci_lower,mean_main_ci_upper,mean_main_credible,mean_stress_est,mean_stress_ci_lower,mean_stress_ci_upper,mean_stress_credible,mean_recovery_est,mean_recovery_ci_lower,mean_recovery_ci_upper,mean_recovery_credible,sd_main_est,sd_main_ci_lower,sd_main_ci_upper,sd_main_credible,sd_stress_est,sd_stress_ci_lower,sd_stress_ci_upper,sd_stress_credible,sd_recovery_est,sd_recovery_ci_lower,sd_recovery_ci_upper,sd_recovery_credible
F0 mean /a/,Negative Affectivity,1.08908121754985,-1.28039661,3.450765345,FALSE,1.00276684650507,-0.5952297935,2.596503885,FALSE,-0.913056750584688,-2.5187070075,0.712889482,FALSE,0.431191440998304,-8.0017747375,9.0462529875,FALSE,-0.489616201621249,-6.522745665,5.535646725,FALSE,2.03214710326443,-4.0279715275,8.0975262575,FALSE
F0 mean /a/,Detachment,1.68016645211154,-1.1503450975,4.4902241875,FALSE,-0.500463776606188,-2.412135455,1.4409989325,FALSE,-1.13375645185245,-3.10449802,0.805142715,FALSE,-0.285243054926935,-7.1821644575,6.9170701875,FALSE,2.09434435897893,-2.8233117975,7.0524828325,FALSE,2.71381798936142,-2.2488713525,7.6694012925,FALSE
F0 mean /a/,Antagonism,2.53468718641219,-2.208686685,7.07864451,FALSE,1.83656766440657,-1.4307131525,5.0902812775,FALSE,2.58081722407871,-0.6859315235,5.7754446775,FALSE,-1.0131136415415,-8.6311215575,6.889655495,FALSE,-2.48728702033156,-8.214457345,3.3642379325,FALSE,-1.88933069416815,-7.6055363175,3.8204616925,FALSE
F0 mean /a/,Disinhibition,2.04904392489471,-1.12827524,5.30312074,FALSE,0.0991666412440955,-2.206480065,2.34303187,FALSE,-1.36252376515228,-3.6650793,0.898810836249998,FALSE,-4.17781190118008,-12.966577825,4.5557308425,FALSE,2.51919592723953,-3.6211987675,8.659717585,FALSE,4.75552941832693,-1.558892545,10.97131675,FALSE
F0 mean /a/,Psychoticism,4.60813142681051,1.3380108125,7.885756855,TRUE,0.346594146562963,-2.0237374725,2.70017071,FALSE,-0.970834628633141,-3.4331949425,1.46362689,FALSE,-3.13632096965819,-10.0907796,3.644839835,FALSE,1.20677508018652,-3.6518006025,6.2046609325,FALSE,0.718792902105703,-4.27610142,5.836486495,FALSE
F0 SD /a/,Negative Affectivity,-0.0186239216757648,-0.0713683258,0.03367412655,FALSE,0.0429871018104121,-0.0832816797,0.167654504,FALSE,-0.0323211449603568,-0.158889137,0.0967184881,FALSE,-0.0982741283531884,-0.301510867,0.102859172,FALSE,-0.114107918183793,-0.584188568,0.35055846425,FALSE,-0.107047686661415,-0.57543213825,0.3597528835,FALSE
F0 SD /a/,Detachment,0.0194409762811633,-0.045635333825,0.08318532845,FALSE,0.0124462251940972,-0.13945651025,0.16449785475,FALSE,0.0105070371804974,-0.13868834675,0.1643171485,FALSE,0.051333776113994,-0.11538607525,0.21761223175,FALSE,-0.0863571759315246,-0.468869722,0.2967182315,FALSE,-0.234826316200417,-0.62293880675,0.15176811375,FALSE
F0 SD /a/,Antagonism,0.0575497176033218,-0.0532997426,0.1663344045,FALSE,0.182906279667151,-0.06552219835,0.43342178375,FALSE,-0.118324696393208,-0.38033992425,0.1402884565,FALSE,-0.0908898554811056,-0.2902428315,0.109134133,FALSE,-0.340213279754617,-0.7824874225,0.1094406695,FALSE,0.103193406615657,-0.35819973275,0.553324721,FALSE
F0 SD /a/,Disinhibition,0.0350242801650473,-0.038978292025,0.10835419075,FALSE,-0.00651242729277802,-0.17693111175,0.16324199075,FALSE,0.0107401068746174,-0.16175501175,0.183517964,FALSE,-0.0511516433034618,-0.2668554935,0.15981407025,FALSE,-0.0688959425874126,-0.555201871,0.4232018245,FALSE,-0.33296801020725,-0.81657361275,0.15492221275,FALSE
F0 SD /a/,Psychoticism,-0.0550726198147867,-0.1326113215,0.023055676875,FALSE,0.0286162820422109,-0.15893132325,0.21629860225,FALSE,0.0274041484514274,-0.1607783645,0.21405325675,FALSE,0.0893168774815086,-0.07756803355,0.2509249145,FALSE,0.018629401669766,-0.3714191945,0.41122801025,FALSE,-0.0464322539659672,-0.43926043825,0.347760852,FALSE
F2 mean /a/,Negative Affectivity,0.87945946753431,-12.757249725,14.519731525,FALSE,-5.99970564348599,-22.550414625,11.5522696,FALSE,-7.20053279433467,-22.804249625,8.66723558249998,FALSE,-2.77189067024062,-22.6490294,16.919901625,FALSE,-0.93824788189169,-19.92505045,17.827137225,FALSE,-0.477068215170029,-19.687551075,18.1344119,FALSE
F2 mean /a/,Detachment,8.83273898283518,-5.68773805,21.784168375,FALSE,-0.751663406128196,-19.718258175,16.165743075,FALSE,-6.21559473959541,-22.098564475,10.33372335,FALSE,-4.22953467853812,-22.524319,13.51940665,FALSE,0.0827890682329903,-20.022568025,18.83988685,FALSE,-0.635616049732119,-20.11677315,19.649871525,FALSE
F2 mean /a/,Antagonism,4.07383401639292,-11.126029775,19.4697699,FALSE,1.78863855360066,-16.1595958,19.73453635,FALSE,1.14633727686578,-16.891625275,18.156896225,FALSE,1.53536973406356,-17.351411,19.936548075,FALSE,-2.13692387973707,-21.975348725,17.368398,FALSE,-2.93632083943696,-21.926812625,16.81859515,FALSE
F2 mean /a/,Disinhibition,2.84228737950292,-11.5397735,18.300218425,FALSE,0.0903266056219914,-17.2743162,19.34087495,FALSE,-0.34500884442761,-17.27685935,17.8553265,FALSE,-1.9306886549177,-20.47919025,17.0472148,FALSE,-1.09471574910104,-21.047853175,18.90816025,FALSE,-1.45226054454043,-20.35290055,18.182511,FALSE
F2 mean /a/,Psychoticism,4.20282827327425,-9.905209805,18.880807325,FALSE,1.32703272612001,-15.31455225,17.546975,FALSE,-7.03098407441943,-22.68130525,8.9094413275,FALSE,-0.859907762183216,-18.910076375,17.461650725,FALSE,1.40382623126413,-16.20187895,20.9375534,FALSE,-0.562205440697423,-18.981199425,18.125469575,FALSE
F2 SD /a/,Negative Affectivity,0.0214554734393931,-0.0110174025,0.05463034585,FALSE,-0.10509329442132,-0.1612412745,-0.049874513425,TRUE,-0.078743216195548,-0.14262821325,-0.01413779725,TRUE,0.0392548880383695,-0.088497158,0.16086607425,FALSE,-0.23783475410519,-0.45211442875,-0.026002127975,TRUE,-0.18195032856847,-0.43624332625,0.0647561597,FALSE
