outcome,domain,mean_main_est,mean_main_ci_lower,mean_main_ci_upper,mean_main_credible,mean_stress_est,mean_stress_ci_lower,mean_stress_ci_upper,mean_stress_credible,mean_recovery_est,mean_recovery_ci_lower,mean_recovery_ci_upper,mean_recovery_credible,sd_main_est,sd_main_ci_lower,sd_main_ci_upper,sd_main_credible,sd_stress_est,sd_stress_ci_lower,sd_stress_ci_upper,sd_stress_credible,sd_recovery_est,sd_recovery_ci_lower,sd_recovery_ci_upper,sd_recovery_credible
F2 SD /a/,Detachment,0.040596082924124,0.0024052957025,0.079689755525,TRUE,0.0135329656886721,-0.05737378835,0.08548814985,FALSE,-0.0525583511186744,-0.13267374375,0.02766353425,FALSE,-0.045950459167899,-0.145771625,0.0549935781,FALSE,-0.190781687557558,-0.37496299325,-0.00326837739500008,TRUE,-0.0507688092079055,-0.2601726965,0.1531147265,FALSE
F2 SD /a/,Antagonism,0.0350980331321656,-0.0340329019,0.102719158,FALSE,0.104518560163311,-0.0180406929,0.226817416,FALSE,0.0353823479112525,-0.10298307075,0.1739420115,FALSE,-0.0350123379672448,-0.1557948405,0.0886939893,FALSE,-0.257892727172703,-0.47698893825,-0.0414037593000001,TRUE,-0.15486328298621,-0.4010403985,0.0911084862999999,FALSE
F2 SD /a/,Disinhibition,0.0308986336593694,-0.01438594865,0.075924829875,FALSE,-0.0679459987723837,-0.14979816425,0.016502651025,FALSE,-0.0307216628481053,-0.125964228,0.06273364235,FALSE,-0.0610326198004384,-0.1904848115,0.069804823175,FALSE,0.0488936478749333,-0.1915963815,0.29339519525,FALSE,0.0113032632238865,-0.25705005175,0.27946639,FALSE
F2 SD /a/,Psychoticism,0.022678816631195,-0.025977459325,0.07097550445,FALSE,0.00847264417931304,-0.08378897405,0.09832943275,FALSE,-0.0169337551471865,-0.11639946875,0.0806625682749999,FALSE,-0.0219576424739566,-0.1266738885,0.080663392075,FALSE,-0.0680638042038084,-0.25881488025,0.1185214755,FALSE,-0.0485605694898033,-0.260618663,0.16613995,FALSE
Jitter /a/,Negative Affectivity,-0.0382277654366458,-0.090361110225,0.013461471275,FALSE,0.0334725733052466,-0.0614832932,0.128175675,FALSE,-0.0287445158663338,-0.1208422575,0.06331320425,FALSE,0.00840681690938229,-0.18953776825,0.21044155825,FALSE,-0.0113336798799959,-0.3576091205,0.3418031505,FALSE,0.0840325020864253,-0.270936395,0.4318453135,FALSE
Jitter /a/,Detachment,-0.0130850373983282,-0.0748833257,0.0489008736,FALSE,0.0302847052808033,-0.080584347275,0.14115671075,FALSE,0.00897124031730756,-0.10042917175,0.12109926775,FALSE,0.108863384305094,-0.050763814575,0.27454175775,FALSE,0.059598147748243,-0.224391089,0.35074125525,FALSE,-0.0861384903278085,-0.36840674875,0.19701328075,FALSE
Jitter /a/,Antagonism,-0.0379566071001541,-0.14492206725,0.068861273,FALSE,0.0324082217459432,-0.15660304675,0.2211933095,FALSE,-0.147701471553213,-0.33367231475,0.033505678325,FALSE,0.103588226460406,-0.090001208825,0.298688572,FALSE,0.0702397801484798,-0.27117164925,0.4054442615,FALSE,0.282274498377816,-0.0499552455,0.6092882115,FALSE
Jitter /a/,Disinhibition,-0.0292181580239565,-0.10319661975,0.042676989975,FALSE,-0.00124400129079626,-0.13229372475,0.1258092025,FALSE,0.023003683679323,-0.10680816425,0.15016792825,FALSE,0.130659379594584,-0.078587948725,0.33642696275,FALSE,0.0160944394935818,-0.34459977525,0.38454600225,FALSE,-0.15720083644743,-0.516733034,0.20226260025,FALSE
Jitter /a/,Psychoticism,-0.111541352611956,-0.18526250225,-0.0381496451,TRUE,0.0213421889846493,-0.11562316875,0.16012424975,FALSE,0.0260981916524501,-0.11348119,0.16329735625,FALSE,0.199138429703592,0.038233220875,0.35454488225,TRUE,0.0149809215437096,-0.27562203275,0.30809991375,FALSE,-0.0478056602090377,-0.3339933205,0.25035073075,FALSE
NNE /a/,Negative Affectivity,0.0383171546080803,-0.3172018335,0.38750663775,FALSE,0.137770264035567,-0.39693459675,0.67838827825,FALSE,-0.045716135941959,-0.56499385525,0.4844067195,FALSE,0.235986554003661,-1.12712665,1.59731867,FALSE,-0.0502451868552338,-2.1168607275,2.0214894825,FALSE,-0.259239797554649,-2.278866425,1.711679465,FALSE
NNE /a/,Detachment,-0.367251088602065,-0.78170594575,0.053418193125,FALSE,0.310378436839807,-0.3316721965,0.96211953075,FALSE,0.122809366944306,-0.5156028915,0.77132213475,FALSE,0.95598138412633,-0.141981003,2.07682519,FALSE,-0.0867925355506526,-1.7683049675,1.6160370275,FALSE,-0.373866156576462,-2.01517096,1.28493782,FALSE
NNE /a/,Antagonism,-0.561037886410492,-1.3114152775,0.1732039495,FALSE,-0.340912328326701,-1.433439875,0.748689192499998,FALSE,-1.22521566525164,-2.2785064225,-0.143412386250001,TRUE,0.603439966554309,-0.697820949,1.9176155325,FALSE,0.992311128703041,-0.956917545,2.9552047225,FALSE,2.41470227151249,0.4988112985,4.2734734825,TRUE
NNE /a/,Disinhibition,-0.067825947602401,-0.556070129,0.41812297325,FALSE,0.272002790069649,-0.4788130715,1.02484836,FALSE,0.071621174322609,-0.6549875125,0.7889154315,FALSE,0.702286441080528,-0.72724825675,2.10993824,FALSE,0.618083323626303,-1.5536328325,2.808973215,FALSE,-0.776067046928053,-2.8889652625,1.29639513,FALSE
NNE /a/,Psychoticism,-0.71429657572093,-1.2135669175,-0.208665743,TRUE,0.41821413062785,-0.3950714095,1.228528695,FALSE,0.384261621668576,-0.396681109,1.182387755,FALSE,1.08606088606774,-0.000378277756249999,2.1702049875,FALSE,-0.311746886229017,-2.02250253,1.42878864,FALSE,-0.317448743504347,-1.98187814,1.335090125,FALSE
