outcome,outcome_var,unit,stress_beta,stress_ci_lower,stress_ci_upper,stress_se,stress_d,stress_credible,recovery_beta,recovery_ci_lower,recovery_ci_upper,recovery_se,recovery_d,recovery_credible
F0 Mean /a/,f0_mean_a,Hz,3.3613455271844,0.9617388695,5.7721046750000005,1.2247434278184013,0.14632985738850138,TRUE,0.891802673407871,-1.5609809049999999,3.35071797,1.254189936047495,0.03882295258344593,FALSE
F0 Mean /i/,f0_mean_i,Hz,2.089418179063592,-0.7717172562499999,4.9951178375,1.4872594217338289,0.09046962547722996,FALSE,-2.23935705637851,-5.1173770925,0.7009852767499973,1.481708265750488,-0.09696182230555289,FALSE
F0 Mean /u/,f0_mean_u,Hz,3.820495212318,1.110746555,6.5146738724999995,1.3795933170654182,0.16209750007881824,TRUE,1.17308104270226,-1.6098130899999998,3.9280911799999996,1.4196448493126488,0.04977195202307776,FALSE
F0 SD /a/,f0_std_a,Hz,-0.1908268861605393,-0.37628589875,-0.0038623614600000267,0.09513711756860013,-0.030895193563253008,TRUE,-0.1599632187556353,-0.34771726974999995,0.023789890249999952,0.09456919958842376,-0.025898313942505143,FALSE
F0 SD /i/,f0_std_i,Hz,-0.09706782082016545,-0.29334999399999995,0.10450175125,0.10158572805707537,-0.009082337617362947,FALSE,-0.043273458673942,-0.24140705325,0.1531566439999999,0.09966799050836349,-0.0040489645098336765,FALSE
F0 SD /u/,f0_std_u,Hz,-0.0903104095884004,-0.2922763905,0.11195037649999981,0.10128691047790776,-0.008736914948964702,FALSE,-0.1591716241165311,-0.34942284124999995,0.025486409949999865,0.09577684086248088,-0.015398766859023642,FALSE
F2 Mean /a/,f2_mean_a,Hz,-13.3361919492468,-26.907715324999998,0.7992717279999981,7.0683721584483665,-0.05693504985862589,FALSE,-0.5713253618692817,-13.94618395,12.949699724999993,6.874328431125721,-0.0024391099113838244,FALSE
F2 SD /a/,f2_std_a,Hz,-0.0609761969937238,-0.1520249295,0.029671160049999996,0.04643257116058087,-0.002121051465302938,FALSE,-0.060247278390947116,-0.15674460425,0.03600316374999997,0.04884228253400156,-0.0020956960980165005,FALSE
Jitter /a/,jitter_a,%,-0.160148265146348,-0.30317517050000004,-0.01887776917500001,0.07248050831895747,-0.17397868252604023,TRUE,-0.0931423061448592,-0.23191825024999999,0.04693539584999994,0.07142512858631335,-0.10118608338161718,FALSE
NNE /a/,nne_a,dB,-1.01011424376457,-1.8147714275,-0.19160385575000033,0.41544000022222016,-0.2517254994030563,TRUE,-0.5997624316015014,-1.3755155124999998,0.19369089899999972,0.4058051007502182,-0.14946378446799488,FALSE
