outcome,trait,N,model_used,beta_int_c1,se_int_c1,ci95_int_c1_lower,ci95_int_c1_upper,MDE_c1,beta_int_c2,se_int_c2,ci95_int_c2_lower,ci95_int_c2_upper,MDE_c2
f0_mean_a,pid5_antagonism_c,141,lmer,0.8804086428237253,1.2799222887979287,-1.6281929462302878,3.3890102318777386,3.585811364629594,2.7204427707537686,1.2855496143866392,0.2008118262166021,5.240073715290935,3.6015767968164343
f0_mean_i,pid5_antagonism_c,141,lmer,-0.25267008509005384,1.5834747154310622,-3.356223497764746,2.850883327584638,4.436239356007302,1.9900389773589489,1.5902843990192541,-1.1268611698947126,5.106939124612611,4.4553172648880075
f0_mean_u,pid5_antagonism_c,141,lmer,0.669035690530413,1.4403626393049507,-2.154023207184346,3.492094588245172,4.03529867899893,2.8100344954064806,1.4466398509517395,-0.02532751105931963,5.6453965018722805,4.05288482235954
f0_std_a,pid5_antagonism_c,141,lmer,0.8983865446762245,0.8239103166602268,-0.7164480024688109,2.5132210918212596,2.308254964206066,-0.788282008374407,0.8262722960047671,-2.407745949966969,0.8311819332181548,2.3148722506232184
f0_std_i,pid5_antagonism_c,141,lmer,0.6175611700442751,1.269375674716351,-1.8703694352510027,3.1054917753395532,3.5562641265175037,-0.11118569809471329,1.2738821351124625,-2.6079488034641263,2.3855774072746994,3.5688893593492614
f0_std_u,pid5_antagonism_c,141,lmer,0.5438099690791602,1.2376465283537055,-1.8819326520851327,2.9695525902434534,3.4673722190845733,0.04384051952084391,1.2419969469341718,-2.3904287653788368,2.4781098044205248,3.479560287472212
f2_mean_a,pid5_antagonism_c,141,lmer,18.862999643635018,23.84827315740459,-27.878756838351283,65.60475612562132,66.81296955530497,6.068891103473095,23.941571046085993,-40.85572588016239,52.99350808710857,67.074351541115945
f2_mean_i,pid5_antagonism_c,141,lmer,-2.226997389419227,39.16506349604423,-78.98911129389028,74.53511651505183,109.72426295697332,-14.798410621793618,39.31322748407117,-91.8509206066033,62.25409936301605,110.13935699568626
f2_mean_u,pid5_antagonism_c,141,lmer,29.666020157227415,26.467827369568663,-22.209968236150665,81.54200855060549,74.1518739141494,21.401569730819595,26.57045797162671,-30.675570946303914,73.47871040794311,74.43940229180126
f2_std_a,pid5_antagonism_c,141,lmer,-0.03238541582260374,3.221295099793614,-6.346007794993444,6.281236963348237,9.024732734761526,-2.3422868565142174,3.2332636943549002,-8.679367249970742,3.994793536942306,9.058263772366013
f2_std_i,pid5_antagonism_c,141,lmer,-6.895546144042148,13.552493647964175,-33.45794559475978,19.666853306675478,37.968465872706325,-0.9337457787444203,13.59833630132157,-27.585995178998296,25.718503621509456,38.09689797271148
f2_std_u,pid5_antagonism_c,141,lm,-18.44458451210115,88.20728052111104,-191.3276775077002,154.43850848349788,247.12021323788863,31.395352312189107,88.43846964543161,-141.94086304069558,204.7315676650738,247.7679092711736
jitter_a,pid5_antagonism_c,141,lmer,0.10282086664904856,0.1186332171330887,-0.12969596630192531,0.3353376996000224,0.3323610674972474,-0.048113350132548,0.11900809785180136,-0.28136493579069716,0.18513823552560116,0.33341132777734833
jitter_i,pid5_antagonism_c,141,lmer,0.02585835031708422,0.17833099555235093,-0.32366397829269605,0.3753806789268645,0.4996094810708358,0.014511756159214597,0.1789392751587689,-0.33620277857167513,0.3652262908901043,0.501313628224656
jitter_u,pid5_antagonism_c,141,lmer,-0.005157988468386917,0.3119368619094895,-0.6165430032614303,0.6062270263246565,0.8739177013101719,-0.01967960484700272,0.3128820192735799,-0.6329170940333861,0.5935578843393807,0.8765656402101981
nne_a,pid5_antagonism_c,141,lmer,0.2229016952465502,0.4063116651021911,-0.573454534852244,1.0192579253453444,1.138316754897165,-0.2061600936954262,0.40790673020115376,-1.0056425939411842,0.5933224065503316,1.142785465700347
nne_i,pid5_antagonism_c,141,lmer,0.2500064567258368,0.35628329334729925,-0.44829596652818854,0.9483088799798622,0.9981580081023999,0.031318383052822835,0.35767305448003456,-0.6697079219684773,0.732344688074123,1.002051542348579
nne_u,pid5_antagonism_c,141,lmer,0.12220387863781972,0.34778394931453765,-0.5594401364197775,0.8038478936954169,0.9743463714965583,-0.056821769827807345,0.3491276659743322,-0.7410994211440283,0.6274558814884137,0.9781109082279709
f0_mean_a,pid5_detachment_c,141,lmer,0.1619607306227621,1.2901955228378676,-2.3667760271542826,2.6906974883998065,3.614592705258102,-0.6179496635919547,1.3092666979225918,-3.184065237677916,1.9481659104940068,3.6680222274675094
f0_mean_i,pid5_detachment_c,141,lmer,0.40931563868571047,1.5737608817510231,-2.6751990098242926,3.4938302871957134,4.409025223158097,-2.796525388201656,1.5962829215910657,-5.925182423656519,0.33213164725320654,4.472122637055711
f0_mean_u,pid5_detachment_c,141,lmer,0.1348768734328801,1.4477772744067554,-2.7027144420399227,2.9724681889056828,4.056071411097848,-0.7806979701153098,1.4688783271034793,-3.659646588909573,2.0982506486789534,4.115187808419613
f0_std_a,pid5_detachment_c,141,lmer,-0.5310806990426703,0.8272983473092003,-2.1525556642382115,1.0903942661528707,2.317746820790744,-0.8035613348626645,0.8365398990269747,-2.443149408586308,0.8360267388609788,2.343637815475687
f0_std_i,pid5_detachment_c,141,lmer,-0.07529483934627774,1.2697564899127942,-2.56397182871135,2.4133821500187946,3.5573310127426923,-0.25961587558786947,1.2854594990566865,-2.7790701973238736,2.2598384461481347,3.6013243310401135
f0_std_u,pid5_detachment_c,141,lmer,-1.620406335403713,1.2330038429167478,-4.03704946032002,0.7962367895125941,3.4543653401920444,-1.0293224726883534,1.2482447927173084,-3.475837310303942,1.417192364927235,3.4970641598632968
f2_mean_a,pid5_detachment_c,141,lmer,-2.748984635209879,23.789913862522095,-49.376359001063335,43.878389730643576,66.64947101742268,-22.31635623765551,24.10220510005755,-69.55581018176589,24.92309770645488,67.52438153224821
f2_mean_i,pid5_detachment_c,141,lmer,6.580922637509019,39.05524110378705,-69.96594333344191,83.12778860845995,109.41658616620778,-15.49177787173515,39.55802116563304,-93.02407465604905,62.04051891257875,110.82516735543746
f2_mean_u,pid5_detachment_c,141,lmer,-16.991802769051354,26.471537098745664,-68.87506209800875,34.89145655990604,74.16226703657489,-31.050535131072277,26.816970560062398,-83.61083160326548,21.509761341120925,75.13002831564145
