feature_family,interaction,MDE_min,MDE_max,MDE_median
F0 mean,Recovery × Trait,3.5600927225205554,4.472122637055711,4.05288482235954
F0 mean,Stress × Trait,3.585811364629594,4.474161011579086,4.0527668343643315
F0 variability,Recovery × Trait,2.2933734447946152,3.6013243310401135,3.4796274050939835
F0 variability,Stress × Trait,2.308254964206066,3.6001226684504863,3.473016870390627
F2 mean,Recovery × Trait,66.07222605697545,110.82516735543746,74.51696869900073
F2 mean,Stress × Trait,66.64947101742268,111.02578732165196,74.29644111146237
F2 variability,Recovery × Trait,8.960881759638712,249.6854132609116,38.09689797271148
F2 variability,Stress × Trait,8.95456924976836,249.40059035345297,37.968465872706325
Jitter,Recovery × Trait,0.32901075828386384,0.8824906679278565,0.501313628224656
Jitter,Stress × Trait,0.3323610674972474,0.8832998538010705,0.4996094810708358
NNE,Recovery × Trait,0.9659428503173682,1.1524129671833654,1.0039501345454431
NNE,Stress × Trait,0.9721861653653876,1.155789994558385,1.0009530906627302
