model,outcome,vowel,parameter,type,estimate,se,ci_lower,ci_upper,significant
m_f0_mean_a,f0_mean,a,c1_stress:pid5_antagonism_c,Interaction,0.8439482133926528,1.5372413396111952,-2.14244326,3.914865289999998,FALSE
m_f0_mean_a,f0_mean,a,c1_stress:pid5_detachment_c,Interaction,-1.086800496122168,1.622301316825715,-4.2603194150000006,2.0943382874999985,FALSE
m_f0_mean_a,f0_mean,a,c1_stress:pid5_disinhibition_c,Interaction,-0.43956561497868696,1.787980901009643,-3.9408013175,3.0774070374999982,FALSE
m_f0_mean_a,f0_mean,a,c1_stress:pid5_negative_affectivity_c,Interaction,2.054361461379544,1.5947418167373346,-1.1439889725,5.1892604625,FALSE
m_f0_mean_a,f0_mean,a,c1_stress:pid5_psychoticism_c,Interaction,0.08774359575873597,1.6924493328853696,-3.18435564,3.3884530974999993,FALSE
m_f0_mean_a,f0_mean,a,pid5_antagonism_c:c2_recovery,Interaction,3.64521898305169,1.5553149310532133,0.55869360175,6.638734367499999,TRUE
m_f0_mean_a,f0_mean,a,pid5_detachment_c:c2_recovery,Interaction,-1.176740117222021,1.6138961352254086,-4.3601917724999995,1.9737682449999998,FALSE
m_f0_mean_a,f0_mean,a,pid5_disinhibition_c:c2_recovery,Interaction,-1.061748418483793,1.7988927779045252,-4.539458590000001,2.5216156849999973,FALSE
m_f0_mean_a,f0_mean,a,pid5_negative_affectivity_c:c2_recovery,Interaction,-0.45578754175598096,1.5896933569091525,-3.5429047474999997,2.6573050324999965,FALSE
m_f0_mean_a,f0_mean,a,pid5_psychoticism_c:c2_recovery,Interaction,-0.80725393318481,1.6672085718218081,-4.0468986475,2.4744489549999997,FALSE
m_f0_mean_a,f0_mean,a,Intercept,Main,189.326201702,1.7611616195836264,185.91298975,192.77585075,TRUE
m_f0_mean_a,f0_mean,a,c1_stress,Main,3.3613455271844,1.2247434278184013,0.9617388695,5.7721046750000005,TRUE
m_f0_mean_a,f0_mean,a,c2_recovery,Main,0.891802673407871,1.254189936047495,-1.5609809049999999,3.35071797,FALSE
m_f0_mean_a,f0_mean,a,pid5_antagonism_c,Main,-2.36335817809662,1.6584155632662867,-5.650818269999999,0.8749274009999995,FALSE
m_f0_mean_a,f0_mean,a,pid5_detachment_c,Main,-0.017264099132703783,1.8125236453168403,-3.6721830375,3.542609517499999,FALSE
m_f0_mean_a,f0_mean,a,pid5_disinhibition_c,Main,-2.100735658321316,1.921125575586191,-5.9112274075,1.6311805849999979,FALSE
m_f0_mean_a,f0_mean,a,pid5_negative_affectivity_c,Main,-0.0358750849050165,1.4881523179193366,-2.9942862674999997,2.9000494124999983,FALSE
m_f0_mean_a,f0_mean,a,pid5_psychoticism_c,Main,7.265862540979,1.7717663550914766,3.793004965,10.758278624999997,TRUE
m_f0_mean_i,f0_mean,i,c1_stress:pid5_antagonism_c,Interaction,-0.005063498212893097,1.836046249581641,-3.657606645,3.5844094075,FALSE
m_f0_mean_i,f0_mean,i,c1_stress:pid5_detachment_c,Interaction,-0.6548161128203742,1.9573293009085073,-4.450578045,3.2104500449999995,FALSE
m_f0_mean_i,f0_mean,i,c1_stress:pid5_disinhibition_c,Interaction,-1.035169100914527,2.1585505490802697,-5.2898031375,3.2244895049999975,FALSE
m_f0_mean_i,f0_mean,i,c1_stress:pid5_negative_affectivity_c,Interaction,5.80762311688304,1.930307918894328,2.0467795625000003,9.6088918,TRUE
m_f0_mean_i,f0_mean,i,c1_stress:pid5_psychoticism_c,Interaction,-1.4989839828991163,2.0192764770328515,-5.354650825,2.3955971249999997,FALSE
m_f0_mean_i,f0_mean,i,pid5_antagonism_c:c2_recovery,Interaction,3.7459353954290844,1.864470916461775,0.051377931075,7.3159845125,TRUE
m_f0_mean_i,f0_mean,i,pid5_detachment_c:c2_recovery,Interaction,-4.6309561051427,1.9927971251224263,-8.5338401575,-0.7210497927500004,TRUE
m_f0_mean_i,f0_mean,i,pid5_disinhibition_c:c2_recovery,Interaction,-0.5870204963357604,2.1449883008637864,-4.845672509999999,3.6339094149999998,FALSE
m_f0_mean_i,f0_mean,i,pid5_negative_affectivity_c:c2_recovery,Interaction,2.060201071083119,1.9030019926650665,-1.694460305,5.770410557499999,FALSE
m_f0_mean_i,f0_mean,i,pid5_psychoticism_c:c2_recovery,Interaction,-0.53192411299711,2.002257998756621,-4.453728255,3.3918357524999996,FALSE
m_f0_mean_i,f0_mean,i,Intercept,Main,193.680277241,1.6619506676190514,190.37939825,196.927349,TRUE
m_f0_mean_i,f0_mean,i,c1_stress,Main,2.089418179063592,1.4872594217338289,-0.7717172562499999,4.9951178375,FALSE
m_f0_mean_i,f0_mean,i,c2_recovery,Main,-2.23935705637851,1.481708265750488,-5.1173770925,0.7009852767499973,FALSE
m_f0_mean_i,f0_mean,i,pid5_antagonism_c,Main,-0.6167626115140388,1.6846144764261965,-3.969027165,2.6824891799999993,FALSE
m_f0_mean_i,f0_mean,i,pid5_detachment_c,Main,-0.351984974686932,1.876788717576467,-4.061561019999999,3.271303084999999,FALSE
m_f0_mean_i,f0_mean,i,pid5_disinhibition_c,Main,-2.693566369469271,1.9934967598617332,-6.5937120575,1.2506023599999958,FALSE
m_f0_mean_i,f0_mean,i,pid5_negative_affectivity_c,Main,-0.07897289023372706,1.5845185996379088,-3.1735817775,2.9995968524999985,FALSE
m_f0_mean_i,f0_mean,i,pid5_psychoticism_c,Main,7.34663052288,1.8553930375263303,3.751398,10.98331085,TRUE
m_f0_mean_u,f0_mean,u,c1_stress:pid5_antagonism_c,Interaction,0.828830673466892,1.709662668935761,-2.526387345,4.186435842499999,FALSE
m_f0_mean_u,f0_mean,u,c1_stress:pid5_detachment_c,Interaction,-1.113709025013272,1.8111264336549893,-4.69021518,2.4396946674999986,FALSE
m_f0_mean_u,f0_mean,u,c1_stress:pid5_disinhibition_c,Interaction,0.214652740393819,2.021316417658965,-3.7653205475,4.156764919999999,FALSE
m_f0_mean_u,f0_mean,u,c1_stress:pid5_negative_affectivity_c,Interaction,2.5237980838436638,1.7806178986696843,-1.0824662699999996,6.03774125,FALSE
