model,outcome,vowel,parameter,type,estimate,se,ci_lower,ci_upper,significant
m_f0_mean_u,f0_mean,u,c1_stress:pid5_psychoticism_c,Interaction,-1.131300684929132,1.9114787823317076,-4.8744928524999995,2.623828435,FALSE
m_f0_mean_u,f0_mean,u,pid5_antagonism_c:c2_recovery,Interaction,4.253658945529222,1.747489665531269,0.8230656265,7.6001463575,TRUE
m_f0_mean_u,f0_mean,u,pid5_detachment_c:c2_recovery,Interaction,-1.3605318568462959,1.8265048010769833,-4.917862767499999,2.1956984324999995,FALSE
m_f0_mean_u,f0_mean,u,pid5_disinhibition_c:c2_recovery,Interaction,-0.5500382020954429,2.000639132914306,-4.4084793925,3.3157885274999988,FALSE
m_f0_mean_u,f0_mean,u,pid5_negative_affectivity_c:c2_recovery,Interaction,0.14505411277393498,1.779332522611717,-3.307955255,3.6256579175,FALSE
m_f0_mean_u,f0_mean,u,pid5_psychoticism_c:c2_recovery,Interaction,-2.396790372250866,1.8424172672993786,-5.9812212375,1.230140532499997,FALSE
m_f0_mean_u,f0_mean,u,Intercept,Main,194.246937097,1.791955067373147,190.67514350000002,197.76280125000002,TRUE
m_f0_mean_u,f0_mean,u,c1_stress,Main,3.820495212318,1.3795933170654182,1.110746555,6.5146738724999995,TRUE
m_f0_mean_u,f0_mean,u,c2_recovery,Main,1.17308104270226,1.4196448493126488,-1.6098130899999998,3.9280911799999996,FALSE
m_f0_mean_u,f0_mean,u,pid5_antagonism_c,Main,-0.8045128545497091,1.7660924577382442,-4.3108532975,2.6891786249999985,FALSE
m_f0_mean_u,f0_mean,u,pid5_detachment_c,Main,-1.1146735091823279,1.9459669365952645,-4.995529265,2.6421881924999995,FALSE
m_f0_mean_u,f0_mean,u,pid5_disinhibition_c,Main,-1.37575221210427,2.0147711548805147,-5.371558930000001,2.5046246,FALSE
m_f0_mean_u,f0_mean,u,pid5_negative_affectivity_c,Main,0.8112604646130869,1.5738907525376067,-2.2806881475,3.88198804,FALSE
m_f0_mean_u,f0_mean,u,pid5_psychoticism_c,Main,6.1400483118699,1.835996375827111,2.5435667825,9.706985552499999,TRUE
m_f0_std_a,f0_std,a,c1_stress:pid5_antagonism_c,Interaction,0.1729742798798596,0.11481977064089077,-0.04836862414999999,0.39823971625,FALSE
m_f0_std_a,f0_std,a,c1_stress:pid5_detachment_c,Interaction,-0.022335995252052397,0.12120473139769215,-0.26528744725000003,0.2181894057499999,FALSE
m_f0_std_a,f0_std,a,c1_stress:pid5_disinhibition_c,Interaction,-0.17794388564497068,0.13425899017128828,-0.4442677645,0.08188544087499995,FALSE
m_f0_std_a,f0_std,a,c1_stress:pid5_negative_affectivity_c,Interaction,0.1511013164188453,0.11873044306939647,-0.08769473975,0.3820044457499999,FALSE
m_f0_std_a,f0_std,a,c1_stress:pid5_psychoticism_c,Interaction,-0.03761619677178123,0.12332571184958048,-0.28132491024999995,0.2095965724999999,FALSE
m_f0_std_a,f0_std,a,pid5_antagonism_c:c2_recovery,Interaction,-0.11082715139134984,0.11288654865894769,-0.32976672300000004,0.11522309474999981,FALSE
m_f0_std_a,f0_std,a,pid5_detachment_c:c2_recovery,Interaction,-0.015124740623892272,0.12153723965622627,-0.25636131325,0.22316836274999996,FALSE
m_f0_std_a,f0_std,a,pid5_disinhibition_c:c2_recovery,Interaction,1.2319008978774613e-4,0.13124586113999764,-0.25779318025,0.25941546799999987,FALSE
m_f0_std_a,f0_std,a,pid5_negative_affectivity_c:c2_recovery,Interaction,-0.0697465543040696,0.11505841168012505,-0.29255695275,0.15373995474999985,FALSE
m_f0_std_a,f0_std,a,pid5_psychoticism_c:c2_recovery,Interaction,0.0798501781802446,0.12085413493483126,-0.16089954625,0.3160178485,FALSE
m_f0_std_a,f0_std,a,Intercept,Main,1.53457187306,0.03933612209153648,1.458217285,1.6112817725000002,TRUE
m_f0_std_a,f0_std,a,c1_stress,Main,-0.1908268861605393,0.09513711756860013,-0.37628589875,-0.0038623614600000267,TRUE
m_f0_std_a,f0_std,a,c2_recovery,Main,-0.1599632187556353,0.09456919958842376,-0.34771726974999995,0.023789890249999952,FALSE
m_f0_std_a,f0_std,a,pid5_antagonism_c,Main,-0.0055734716717848595,0.046686916776961095,-0.09837925107500001,0.08534372334999994,FALSE
m_f0_std_a,f0_std,a,pid5_detachment_c,Main,0.0875881390430262,0.050724029375215814,-0.013316244499999998,0.18749403374999998,FALSE
m_f0_std_a,f0_std,a,pid5_disinhibition_c,Main,0.0455918931170537,0.056354162057492434,-0.0641939614,0.15693029499999997,FALSE
m_f0_std_a,f0_std,a,pid5_negative_affectivity_c,Main,-0.0748434128250765,0.04836616762311544,-0.16972597425000002,0.020817942899999994,FALSE
m_f0_std_a,f0_std,a,pid5_psychoticism_c,Main,-0.0830659165233959,0.05205622341323241,-0.185400656,0.01746479304999988,FALSE
m_f0_std_i,f0_std,i,c1_stress:pid5_antagonism_c,Interaction,0.06850736172188601,0.1237333727367591,-0.17169684175,0.3131986362499999,FALSE
m_f0_std_i,f0_std,i,c1_stress:pid5_detachment_c,Interaction,-0.026336689386867274,0.13013444727839282,-0.2823249885,0.229998558,FALSE
m_f0_std_i,f0_std,i,c1_stress:pid5_disinhibition_c,Interaction,-0.1389024572531081,0.14453471422533348,-0.418801216,0.142438918,FALSE
m_f0_std_i,f0_std,i,c1_stress:pid5_negative_affectivity_c,Interaction,0.17416776129964592,0.1293649359429405,-0.0807515543,0.4259800935,FALSE
m_f0_std_i,f0_std,i,c1_stress:pid5_psychoticism_c,Interaction,-0.0988472527220019,0.13527363200867398,-0.36663839324999997,0.16351474699999993,FALSE
m_f0_std_i,f0_std,i,pid5_antagonism_c:c2_recovery,Interaction,-0.03666406920438748,0.12257993020261884,-0.2794176855,0.20053050324999996,FALSE
m_f0_std_i,f0_std,i,pid5_detachment_c:c2_recovery,Interaction,-0.07329510495020179,0.12830348734446587,-0.32517624024999997,0.17610177749999995,FALSE
m_f0_std_i,f0_std,i,pid5_disinhibition_c:c2_recovery,Interaction,0.10971688559465344,0.1401918304138838,-0.16635905525,0.38276831624999996,FALSE
m_f0_std_i,f0_std,i,pid5_negative_affectivity_c:c2_recovery,Interaction,-0.04361948288373805,0.1262918239880616,-0.2907505595,0.20395126349999992,FALSE
m_f0_std_i,f0_std,i,pid5_psychoticism_c:c2_recovery,Interaction,0.028961212868881,0.12936175656898724,-0.2254151655,0.2827164554999999,FALSE
m_f0_std_i,f0_std,i,Intercept,Main,1.80804921474,0.051845120637102934,1.7061354899999999,1.9097802375,TRUE
m_f0_std_i,f0_std,i,c1_stress,Main,-0.09706782082016545,0.10158572805707537,-0.29334999399999995,0.10450175125,FALSE
m_f0_std_i,f0_std,i,c2_recovery,Main,-0.043273458673942,0.09966799050836349,-0.24140705325,0.1531566439999999,FALSE
m_f0_std_i,f0_std,i,pid5_antagonism_c,Main,-0.10097649219173664,0.06198786357766069,-0.222432361,0.021750138874999984,FALSE
m_f0_std_i,f0_std,i,pid5_detachment_c,Main,0.09217927612208308,0.06596209563105587,-0.0380252061,0.22037103224999985,FALSE
m_f0_std_i,f0_std,i,pid5_disinhibition_c,Main,0.015653569993693182,0.07310475616830131,-0.12672626525,0.15918853175,FALSE
m_f0_std_i,f0_std,i,pid5_negative_affectivity_c,Main,-0.00736508769050244,0.06325419278881975,-0.13194585975,0.115735891,FALSE
m_f0_std_i,f0_std,i,pid5_psychoticism_c,Main,-0.0096249225111532,0.06786017991411145,-0.14362506675,0.1222339125,FALSE
m_f0_std_u,f0_std,u,c1_stress:pid5_antagonism_c,Interaction,0.073574696645943,0.1243449942126604,-0.169908712,0.31664699549999986,FALSE
m_f0_std_u,f0_std,u,c1_stress:pid5_detachment_c,Interaction,-0.1180134803024781,0.13082569906482922,-0.37316607,0.146099599,FALSE
m_f0_std_u,f0_std,u,c1_stress:pid5_disinhibition_c,Interaction,0.0772639652068772,0.1439929448948543,-0.204620779,0.36255669899999987,FALSE
m_f0_std_u,f0_std,u,c1_stress:pid5_negative_affectivity_c,Interaction,0.06932616597555,0.12904743393288007,-0.18398347925,0.32405432024999986,FALSE
m_f0_std_u,f0_std,u,c1_stress:pid5_psychoticism_c,Interaction,-0.1138993518994732,0.13846470653967444,-0.38312743275,0.1591447032499998,FALSE
m_f0_std_u,f0_std,u,pid5_antagonism_c:c2_recovery,Interaction,-0.0067330691421384195,0.11761267268384579,-0.23849313749999998,0.22366942499999995,FALSE
m_f0_std_u,f0_std,u,pid5_detachment_c:c2_recovery,Interaction,-0.02673147976724242,0.12476722609649546,-0.26940062000000004,0.22388427174999992,FALSE
m_f0_std_u,f0_std,u,pid5_disinhibition_c:c2_recovery,Interaction,-0.1349358210224747,0.13548846891934568,-0.40182108125,0.1305557084999999,FALSE
m_f0_std_u,f0_std,u,pid5_negative_affectivity_c:c2_recovery,Interaction,0.13198103540922548,0.12333515528798684,-0.114590388,0.3698025662499999,FALSE
m_f0_std_u,f0_std,u,pid5_psychoticism_c:c2_recovery,Interaction,0.1194706577749228,0.1270933638146679,-0.12984710400000002,0.36787575024999997,FALSE
m_f0_std_u,f0_std,u,Intercept,Main,1.82011243966,0.05570992191233928,1.708818205,1.9282885275,TRUE
m_f0_std_u,f0_std,u,c1_stress,Main,-0.0903104095884004,0.10128691047790776,-0.2922763905,0.11195037649999981,FALSE
m_f0_std_u,f0_std,u,c2_recovery,Main,-0.1591716241165311,0.09577684086248088,-0.34942284124999995,0.025486409949999865,FALSE
m_f0_std_u,f0_std,u,pid5_antagonism_c,Main,-0.0667823831772116,0.06715121092968505,-0.19913937725,0.0650335,FALSE
m_f0_std_u,f0_std,u,pid5_detachment_c,Main,0.0369050285375504,0.07116119135714749,-0.10304149725,0.1787621602499999,FALSE
m_f0_std_u,f0_std,u,pid5_disinhibition_c,Main,0.0690129127334678,0.07913901319823181,-0.08670125837499999,0.22708989574999994,FALSE
m_f0_std_u,f0_std,u,pid5_negative_affectivity_c,Main,-0.07147050198381746,0.06703939782684712,-0.202795659,0.06123482589999998,FALSE
m_f0_std_u,f0_std,u,pid5_psychoticism_c,Main,-0.1001398258954064,0.07214137306471047,-0.24212358374999998,0.040594045149999966,FALSE
m_f2_mean_a,f2_mean,a,c1_stress:pid5_antagonism_c,Interaction,0.15409651179450012,7.280571894560963,-14.359818825,14.336874174999995,FALSE
m_f2_mean_a,f2_mean,a,c1_stress:pid5_detachment_c,Interaction,3.32127300549798,7.421579527401184,-11.487755624999998,18.19815399999999,FALSE
m_f2_mean_a,f2_mean,a,c1_stress:pid5_disinhibition_c,Interaction,-4.476365342352101,7.669587448636469,-19.5662028,10.536822699999997,FALSE
m_f2_mean_a,f2_mean,a,c1_stress:pid5_negative_affectivity_c,Interaction,-1.388438329287098,7.389536922410527,-16.027792225000002,12.959311349999997,FALSE
m_f2_mean_a,f2_mean,a,c1_stress:pid5_psychoticism_c,Interaction,7.51285750734273,7.852266418817826,-8.224119325,22.537834725,FALSE
m_f2_mean_a,f2_mean,a,pid5_antagonism_c:c2_recovery,Interaction,4.5796096950975524,7.158793847006051,-9.6172024775,18.416366624999995,FALSE
m_f2_mean_a,f2_mean,a,pid5_detachment_c:c2_recovery,Interaction,0.6025245725736342,7.25141689915267,-13.330497375,15.113360449999986,FALSE
m_f2_mean_a,f2_mean,a,pid5_disinhibition_c:c2_recovery,Interaction,-2.5797996379565102,7.673572549554598,-17.789373349999998,12.443337974999999,FALSE
m_f2_mean_a,f2_mean,a,pid5_negative_affectivity_c:c2_recovery,Interaction,-4.12444787242773,7.350399550109217,-18.3552351,10.377720624999993,FALSE
m_f2_mean_a,f2_mean,a,pid5_psychoticism_c:c2_recovery,Interaction,-5.56945910052084,7.412747918565635,-19.967997525,8.928367867499997,FALSE
m_f2_mean_a,f2_mean,a,Intercept,Main,1157.60041366,5.453042670265636,1146.9940350000002,1168.5820775,TRUE
m_f2_mean_a,f2_mean,a,c1_stress,Main,-13.3361919492468,7.0683721584483665,-26.907715324999998,0.7992717279999981,FALSE
m_f2_mean_a,f2_mean,a,c2_recovery,Main,-0.5713253618692817,6.874328431125721,-13.94618395,12.949699724999993,FALSE
m_f2_mean_a,f2_mean,a,pid5_antagonism_c,Main,6.83170494031753,5.271065107436343,-3.31705187,17.14660835,FALSE
m_f2_mean_a,f2_mean,a,pid5_detachment_c,Main,8.45927299672595,5.397269586967962,-1.98367734,19.14486234999999,FALSE
m_f2_mean_a,f2_mean,a,pid5_disinhibition_c,Main,-0.396413517056368,5.716120939599588,-11.854341674999999,10.943671549999998,FALSE
m_f2_mean_a,f2_mean,a,pid5_negative_affectivity_c,Main,-4.206117478265236,5.307779172783356,-14.423888400000001,6.358513577499996,FALSE
m_f2_mean_a,f2_mean,a,pid5_psychoticism_c,Main,-5.49110849912235,5.6164714788256145,-16.390845199999998,5.545681802499999,FALSE
m_f2_mean_i,f2_mean,i,c1_stress:pid5_antagonism_c,Interaction,3.113720872765884,9.448084917020928,-15.385544375,21.33262862499999,FALSE
m_f2_mean_i,f2_mean,i,c1_stress:pid5_detachment_c,Interaction,2.902664922531478,9.679715363674728,-16.3596351,21.943457525,FALSE
m_f2_mean_i,f2_mean,i,c1_stress:pid5_disinhibition_c,Interaction,3.74645122906859,9.395272992725275,-14.622515125,21.85655744999999,FALSE
m_f2_mean_i,f2_mean,i,c1_stress:pid5_negative_affectivity_c,Interaction,0.5722438104381499,9.563182099382217,-18.2712458,19.321496625,FALSE
m_f2_mean_i,f2_mean,i,c1_stress:pid5_psychoticism_c,Interaction,0.002103440284234664,9.701362217644766,-19.180471450000002,19.279996824999994,FALSE
m_f2_mean_i,f2_mean,i,pid5_antagonism_c:c2_recovery,Interaction,-1.00388996962173,9.6103235928098,-19.849510425,18.109293649999998,FALSE
m_f2_mean_i,f2_mean,i,pid5_detachment_c:c2_recovery,Interaction,-0.28944759156698,9.552979800094382,-19.072370275,18.368528999999985,FALSE
m_f2_mean_i,f2_mean,i,pid5_disinhibition_c:c2_recovery,Interaction,-5.33654295839795,9.460495521944521,-23.843961224999997,12.959051574999995,FALSE
m_f2_mean_i,f2_mean,i,pid5_negative_affectivity_c:c2_recovery,Interaction,-2.04251724396421,9.80689574162083,-21.676676924999995,17.045138275,FALSE
m_f2_mean_i,f2_mean,i,pid5_psychoticism_c:c2_recovery,Interaction,-1.953598380184562,9.669453843683138,-20.968301375000003,16.981990549999995,FALSE
m_f2_mean_i,f2_mean,i,Intercept,Main,2308.79654893,22.501601262984202,2259.4242225,2347.4508625,TRUE
m_f2_mean_i,f2_mean,i,c1_stress,Main,-2.481171692919218,9.478983164581306,-20.622634575,16.22101144999999,FALSE
m_f2_mean_i,f2_mean,i,c2_recovery,Main,-1.9877631322593492,9.641218169962388,-21.248358625,17.019195699999997,FALSE
m_f2_mean_i,f2_mean,i,pid5_antagonism_c,Main,-6.87660497538958,8.121161323880203,-22.716300499999996,9.0942204025,FALSE
m_f2_mean_i,f2_mean,i,pid5_detachment_c,Main,-1.356072560821255,8.320506813060883,-17.691686625,14.864482574999991,FALSE
m_f2_mean_i,f2_mean,i,pid5_disinhibition_c,Main,1.6504028464741498,8.378143858738246,-14.8287886,18.083959449999988,FALSE
m_f2_mean_i,f2_mean,i,pid5_negative_affectivity_c,Main,1.432986342823228,8.404947141542584,-14.925825525,17.85258239999999,FALSE
m_f2_mean_i,f2_mean,i,pid5_psychoticism_c,Main,-8.22797162294685,8.370115021514943,-24.6232625,7.8939369799999755,FALSE
m_f2_mean_u,f2_mean,u,c1_stress:pid5_antagonism_c,Interaction,-0.5655756792390001,7.611955060064065,-15.34370235,14.287417924999994,FALSE
m_f2_mean_u,f2_mean,u,c1_stress:pid5_detachment_c,Interaction,-3.14632568373623,7.578890174567163,-17.988371575,11.758033049999995,FALSE
m_f2_mean_u,f2_mean,u,c1_stress:pid5_disinhibition_c,Interaction,-6.2153615248732,7.062757250634154,-20.0032331,7.675799797499982,FALSE
m_f2_mean_u,f2_mean,u,c1_stress:pid5_negative_affectivity_c,Interaction,-7.299246627265189,7.119625597380823,-21.118568525,6.796273569999984,FALSE
m_f2_mean_u,f2_mean,u,c1_stress:pid5_psychoticism_c,Interaction,-9.423725473299196,7.432882026722536,-23.785765925000003,5.389449342499991,FALSE
m_f2_mean_u,f2_mean,u,pid5_antagonism_c:c2_recovery,Interaction,1.57668941499882,7.15573328164266,-12.337531149999997,15.545507499999996,FALSE
m_f2_mean_u,f2_mean,u,pid5_detachment_c:c2_recovery,Interaction,-1.3336890354486783,7.362629352813882,-15.990108075,13.099796799999996,FALSE
m_f2_mean_u,f2_mean,u,pid5_disinhibition_c:c2_recovery,Interaction,1.3974549555430502,7.1904089353406855,-12.46108905,15.422845799999997,FALSE
m_f2_mean_u,f2_mean,u,pid5_negative_affectivity_c:c2_recovery,Interaction,-0.19514801428245995,6.866081750838027,-13.7195016,13.026337724999996,FALSE
m_f2_mean_u,f2_mean,u,pid5_psychoticism_c:c2_recovery,Interaction,-9.781935459474209,7.3063462214677175,-24.109864449999996,4.755384447499999,FALSE
m_f2_mean_u,f2_mean,u,Intercept,Main,1052.7158281,4.988207061679709,1043.4360925,1062.94816,TRUE
m_f2_mean_u,f2_mean,u,c1_stress,Main,-8.45391478787325,6.443354126478671,-21.17999825,4.020792002499998,FALSE
m_f2_mean_u,f2_mean,u,c2_recovery,Main,-2.12277440940451,6.205848060558875,-14.25804385,9.8932734075,FALSE
m_f2_mean_u,f2_mean,u,pid5_antagonism_c,Main,-0.6619357163024449,5.280338677091436,-10.990884475,9.850920032499996,FALSE
m_f2_mean_u,f2_mean,u,pid5_detachment_c,Main,11.5256755523708,5.104502726193437,1.4592262700000003,21.561104699999998,TRUE
m_f2_mean_u,f2_mean,u,pid5_disinhibition_c,Main,3.661024416935315,5.189017096706546,-6.6867117575,13.923921774999997,FALSE
m_f2_mean_u,f2_mean,u,pid5_negative_affectivity_c,Main,-10.35546117866032,4.6756081839948855,-19.431096625,-1.3079907075000061,TRUE
m_f2_mean_u,f2_mean,u,pid5_psychoticism_c,Main,-0.3784923709034399,5.074716471050521,-10.24330755,9.489700164999999,FALSE
m_f2_std_a,f2_std,a,c1_stress:pid5_antagonism_c,Interaction,0.007997833850725621,0.05601629243501474,-0.10112684775,0.11836966874999996,FALSE
m_f2_std_a,f2_std,a,c1_stress:pid5_detachment_c,Interaction,-0.0293313604878853,0.06063974555973851,-0.14635818099999998,0.09109038749999993,FALSE
m_f2_std_a,f2_std,a,c1_stress:pid5_disinhibition_c,Interaction,-0.03592301948973008,0.06702770001630814,-0.16763398300000001,0.09462265527499997,FALSE
m_f2_std_a,f2_std,a,c1_stress:pid5_negative_affectivity_c,Interaction,-0.1562356646445788,0.05897504226057035,-0.271378856,-0.04243495922500002,TRUE
m_f2_std_a,f2_std,a,c1_stress:pid5_psychoticism_c,Interaction,0.08136101814458332,0.06230554171027006,-0.043748381225,0.20367685199999996,FALSE
m_f2_std_a,f2_std,a,pid5_antagonism_c:c2_recovery,Interaction,-0.0429901258348118,0.057808959751274556,-0.15861850775,0.07088605724999998,FALSE
m_f2_std_a,f2_std,a,pid5_detachment_c:c2_recovery,Interaction,-0.1036376588107228,0.062309625040915625,-0.22623303875,0.019701427774999888,FALSE
m_f2_std_a,f2_std,a,pid5_disinhibition_c:c2_recovery,Interaction,0.0788695806621505,0.06893911480513808,-0.0551377458,0.21401617599999997,FALSE
m_f2_std_a,f2_std,a,pid5_negative_affectivity_c:c2_recovery,Interaction,-0.1269163042517944,0.06024118442969247,-0.246252454,-0.008859996560000017,TRUE
m_f2_std_a,f2_std,a,pid5_psychoticism_c:c2_recovery,Interaction,0.04828962009805883,0.06328674877384943,-0.0744338978,0.17214642299999997,FALSE
m_f2_std_a,f2_std,a,Intercept,Main,4.00370786373,0.026087386180943205,3.9526739399999995,4.0547261925,TRUE
m_f2_std_a,f2_std,a,c1_stress,Main,-0.0609761969937238,0.04643257116058087,-0.1520249295,0.029671160049999996,FALSE
m_f2_std_a,f2_std,a,c2_recovery,Main,-0.060247278390947116,0.04884228253400156,-0.15674460425,0.03600316374999997,FALSE
m_f2_std_a,f2_std,a,pid5_antagonism_c,Main,0.01912764198740748,0.030584149982321732,-0.03999281295,0.07955514007499996,FALSE
m_f2_std_a,f2_std,a,pid5_detachment_c,Main,0.07321523941179033,0.0331291386188844,0.009068440135000001,0.1383289985,TRUE
m_f2_std_a,f2_std,a,pid5_disinhibition_c,Main,-0.024775584338865148,0.03642348093327679,-0.096844580625,0.04613789349999998,FALSE
m_f2_std_a,f2_std,a,pid5_negative_affectivity_c,Main,-0.0065651141829560595,0.032080512093496875,-0.070002539075,0.056560998949999955,FALSE
m_f2_std_a,f2_std,a,pid5_psychoticism_c,Main,0.01464484179067532,0.03313681796890374,-0.050079791875,0.07942558514999999,FALSE
m_f2_std_i,f2_std,i,c1_stress:pid5_antagonism_c,Interaction,0.10269554725908796,0.1124511677490114,-0.11638816249999999,0.3272216592499999,FALSE
m_f2_std_i,f2_std,i,c1_stress:pid5_detachment_c,Interaction,-0.1674507696882682,0.12165687819667131,-0.4075760075,0.07158454729999965,FALSE
m_f2_std_i,f2_std,i,c1_stress:pid5_disinhibition_c,Interaction,0.005963847303380882,0.1338714080869138,-0.259993358,0.269814024,FALSE
m_f2_std_i,f2_std,i,c1_stress:pid5_negative_affectivity_c,Interaction,0.21302672962226898,0.11777941239235534,-0.020867527674999997,0.44016691625,FALSE
m_f2_std_i,f2_std,i,c1_stress:pid5_psychoticism_c,Interaction,-0.2311979387637153,0.12238336690669646,-0.46791409624999997,0.012966076024999891,FALSE
m_f2_std_i,f2_std,i,pid5_antagonism_c:c2_recovery,Interaction,0.036191877557012184,0.11014239821596865,-0.17683659925,0.2561188455,FALSE
