Domain,EMA_M,EMA_SD,Baseline_M,Baseline_SD
Negative Affectivity,4.508693958716847,1.554604824265313,23.624113475177303,8.109552574492625
Detachment,1.9530808964261708,1.5829708671558274,22.397163120567377,6.236848371486669
Antagonism,0.8221754774072759,1.1258431716557633,14.673758865248226,5.826658505647874
Disinhibition,2.4440516610035288,1.2609346384484565,20.347517730496453,5.319755385894621
Psychoticism,1.2239929074439626,1.4001951240079795,29.27659574468085,11.553049308657323
