Outcome,R2_EMA,R2_Baseline,R2_Diff,LOO_Diff
F0 Mean,0.6381422335741198,0.6450151281373009,-0.006872894563181076,NA
F2 Mean,0.035218389603822904,0.05909394277925023,-0.023875553175427326,NA
